"Election Date","Election Type","Ward/Precinct","Number Registered","Number of Ballots Cast","Percentage"
"Nov 03, 2009","Municipal","7-2","1,239","169","14"
"Nov 03, 2009","Municipal","7-3","801","88","11"
"Nov 03, 2009","Municipal","8-1","1,564","283","18"
"Nov 03, 2009","Municipal","8-2","2,001","553","28"
"Nov 03, 2009","Municipal","11-1","1,703","274","16"
"Nov 03, 2009","Municipal","8-3","743","71","10"
"Nov 03, 2009","Municipal","9-1","2,159","787","36"
"Nov 04, 2008","State/Presidential","11-3","2,481","1,953","79"
"Nov 04, 2008","State/Presidential","1-1","2,182","1,644","75"
"Nov 04, 2008","State/Presidential","1-2","1,848","1,305","71"
"Nov 04, 2008","State/Presidential","1-3","1,886","1,325","70"
"Nov 04, 2008","State/Presidential","2-1","1,933","1,392","72"
"Nov 04, 2008","State/Presidential","2-2","901","397","44"
"Nov 04, 2008","State/Presidential","2-3","800","384","48"
"Nov 04, 2008","State/Presidential","3-1","1,725","1,212","70"
"Nov 04, 2008","State/Presidential","3-2","1,970","1,436","73"
"Nov 04, 2008","State/Presidential","3-3","1,777","1,148","65"
"Nov 04, 2008","State/Presidential","4-1","2,245","1,612","72"
"Nov 04, 2008","State/Presidential","4-2","2,531","1,771","70"
"Nov 04, 2008","State/Presidential","4-3","1,199","728","61"
"Nov 04, 2008","State/Presidential","5-1","2,564","1,775","69"
"Nov 04, 2008","State/Presidential","5-2","2,218","1,682","76"
"Nov 04, 2008","State/Presidential","5-3","2,479","1,840","74"
"Nov 04, 2008","State/Presidential","6-1","2,295","1,675","73"
"Nov 04, 2008","State/Presidential","6-2","2,194","1,535","70"
"Nov 04, 2008","State/Presidential","6-3","2,332","1,744","75"
"Nov 04, 2008","State/Presidential","7-1","2,165","1,603","74"
"Nov 04, 2008","State/Presidential","7-2","1,435","863","60"
"Nov 04, 2008","State/Presidential","7-3","914","610","67"
"Nov 04, 2008","State/Presidential","8-1","1,765","1,189","67"
"Nov 04, 2008","State/Presidential","8-2","2,200","1,692","77"
"Nov 04, 2008","State/Presidential","8-3","883","444","50"
"Nov 04, 2008","State/Presidential","9-1","2,313","1,880","81"
"Nov 04, 2008","State/Presidential","9-2","2,432","1,925","79"
"Nov 04, 2008","State/Presidential","9-3","2,302","1,792","78"
"Nov 04, 2008","State/Presidential","10-1","2,569","1,978","77"
"Nov 04, 2008","State/Presidential","10-2","2,393","1,908","80"
"Nov 04, 2008","State/Presidential","10-3","1,720","1,288","75"
"Nov 04, 2008","State/Presidential","11-1","1,767","1,175","66"
"Nov 04, 2008","State/Presidential","11-2","2,335","1,822","78"
"Sep 16, 2008","State Primary","5-1","2,334","271","12"
"Sep 16, 2008","State Primary","1-1","1,929","253","13"
"Sep 16, 2008","State Primary","1-2","1,732","300","17"
"Sep 16, 2008","State Primary","1-3","1,736","303","17"
"Sep 16, 2008","State Primary","2-1","1,785","209","12"
"Sep 16, 2008","State Primary","2-2","670","3","0"
"Sep 16, 2008","State Primary","2-3","709","22","3"
"Sep 16, 2008","State Primary","3-1","1,612","179","11"
"Sep 16, 2008","State Primary","3-2","1,799","196","11"
"Sep 16, 2008","State Primary","3-3","1,617","126","8"
"Sep 16, 2008","State Primary","4-1","2,105","286","14"
"Sep 16, 2008","State Primary","4-2","2,302","246","11"
"Sep 16, 2008","State Primary","4-3","1,020","89","9"
"Sep 16, 2008","State Primary","5-2","2,085","302","14"
"Sep 16, 2008","State Primary","5-3","2,290","285","12"
"Sep 16, 2008","State Primary","6-1","2,149","258","12"
"Sep 16, 2008","State Primary","6-2","2,037","231","11"
"Sep 16, 2008","State Primary","6-3","2,249","287","13"
"Sep 16, 2008","State Primary","7-1","2,025","292","14"
"Sep 16, 2008","State Primary","7-2","1,269","82","6"
"Sep 16, 2008","State Primary","7-3","777","52","7"
"Sep 16, 2008","State Primary","8-1","1,619","179","11"
"Sep 16, 2008","State Primary","8-2","2,044","282","14"
"Sep 16, 2008","State Primary","8-3","785","37","5"
"Sep 16, 2008","State Primary","9-1","2,230","638","29"
"Sep 16, 2008","State Primary","9-2","2,350","604","26"
"Sep 16, 2008","State Primary","9-3","2,213","617","28"
"Sep 16, 2008","State Primary","10-1","2,409","353","15"
"Sep 16, 2008","State Primary","10-2","2,296","408","18"
"Sep 16, 2008","State Primary","10-3","1,596","238","15"
"Sep 16, 2008","State Primary","11-1","1,634","139","9"
"Sep 16, 2008","State Primary","11-2","2,257","348","15"
"Sep 16, 2008","State Primary","11-3","2,358","471","20"
"Feb 05, 2008","Presidential Primary","10-3","1,511","798","53"
"Feb 05, 2008","Presidential Primary","8-3","760","261","34"
"Feb 05, 2008","Presidential Primary","9-1","2,191","1,409","64"
"Feb 05, 2008","Presidential Primary","9-2","2,322","1,343","58"
"Feb 05, 2008","Presidential Primary","11-1","1,529","593","39"
"Feb 05, 2008","Presidential Primary","10-1","2,312","1,372","59"
"Feb 05, 2008","Presidential Primary","9-3","2,147","1,196","56"
"Feb 05, 2008","Presidential Primary","11-3","2,284","1,333","58"
"Feb 05, 2008","Presidential Primary","7-2","1,250","504","40"
"Feb 05, 2008","Presidential Primary","7-3","786","364","46"
"Feb 05, 2008","Presidential Primary","8-1","1,567","793","51"
"Feb 05, 2008","Presidential Primary","1-1","1,753","846","48"
"Feb 05, 2008","Presidential Primary","1-2","1,699","779","46"
"Feb 05, 2008","Presidential Primary","1-3","1,680","749","45"
"Feb 05, 2008","Presidential Primary","10-2","2,260","1,394","62"
"Feb 05, 2008","Presidential Primary","2-1","1,683","773","46"
"Feb 05, 2008","Presidential Primary","8-2","2,037","1,140","56"
"Feb 05, 2008","Presidential Primary","2-2","649","139","21"
"Feb 05, 2008","Presidential Primary","2-3","689","197","29"
"Feb 05, 2008","Presidential Primary","3-1","1,572","719","46"
"Feb 05, 2008","Presidential Primary","11-2","2,185","1,271","58"
"Feb 05, 2008","Presidential Primary","3-2","1,734","874","50"
"Feb 05, 2008","Presidential Primary","3-3","1,583","720","45"
"Feb 05, 2008","Presidential Primary","4-1","2,020","1,030","51"
"Feb 05, 2008","Presidential Primary","4-2","2,208","1,101","50"
"Feb 05, 2008","Presidential Primary","4-3","955","374","39"
"Feb 05, 2008","Presidential Primary","5-1","2,225","1,048","47"
"Feb 05, 2008","Presidential Primary","5-2","2,007","1,070","53"
"Feb 05, 2008","Presidential Primary","5-3","2,184","1,202","55"
"Feb 05, 2008","Presidential Primary","6-1","2,068","1,088","53"
"Feb 05, 2008","Presidential Primary","6-2","1,945","1,021","52"
"Feb 05, 2008","Presidential Primary","6-3","2,159","1,199","56"
"Feb 05, 2008","Presidential Primary","7-1","1,990","1,126","57"
"Nov 06, 2007","Municipal","8-1","1,488","240","16"
"Nov 06, 2007","Municipal","1-1","1,595","384","24"
"Nov 06, 2007","Municipal","1-2","1,643","495","30"
"Nov 06, 2007","Municipal","1-3","1,618","490","30"
"Nov 06, 2007","Municipal","2-1","1,605","376","23"
"Nov 06, 2007","Municipal","2-2","629","7","1"
"Nov 06, 2007","Municipal","2-3","673","25","4"
"Nov 06, 2007","Municipal","3-1","1,512","367","24"
"Nov 06, 2007","Municipal","3-2","1,644","345","21"
"Nov 06, 2007","Municipal","3-3","1,490","265","18"
"Nov 06, 2007","Municipal","4-1","1,946","502","26"
"Nov 06, 2007","Municipal","4-2","2,116","387","18"
"Nov 06, 2007","Municipal","4-3","920","133","14"
"Nov 06, 2007","Municipal","5-1","2,143","465","22"
"Nov 06, 2007","Municipal","5-2","1,934","576","30"
"Nov 06, 2007","Municipal","5-3","2,088","568","27"
"Nov 06, 2007","Municipal","6-1","2,014","469","23"
"Nov 06, 2007","Municipal","6-2","1,862","354","19"
"Nov 06, 2007","Municipal","6-3","2,058","457","22"
"Nov 06, 2007","Municipal","7-1","1,922","508","26"
"Nov 06, 2007","Municipal","7-2","1,205","149","12"
"Nov 06, 2007","Municipal","7-3","724","68","9"
"Nov 06, 2007","Municipal","8-2","1,954","416","21"
"Nov 06, 2007","Municipal","8-3","733","52","7"
"Nov 06, 2007","Municipal","9-1","2,128","716","34"
"Nov 06, 2007","Municipal","9-2","2,218","710","32"
"Nov 06, 2007","Municipal","9-3","2,092","676","32"
"Nov 06, 2007","Municipal","10-1","2,201","623","28"
"Nov 06, 2007","Municipal","10-2","2,205","679","31"
"Nov 06, 2007","Municipal","10-3","1,462","407","28"
"Nov 06, 2007","Municipal","11-1","1,449","235","16"
"Nov 06, 2007","Municipal","11-2","2,114","758","36"
"Nov 06, 2007","Municipal","11-3","2,186","819","37"
"Nov 07, 2006","State Election","10-3","1,565","922","59"
"Nov 07, 2006","State Election","11-1","1,507","677","45"
"Nov 07, 2006","State Election","11-2","2,200","1,363","62"
"Nov 07, 2006","State Election","11-3","2,296","1,483","65"
"Nov 07, 2006","State Election","1-3","1,665","889","53"
"Nov 07, 2006","State Election","1-1","1,613","859","53"
"Nov 07, 2006","State Election","2-1","1,725","875","51"
"Nov 07, 2006","State Election","2-2","772","136","18"
"Nov 07, 2006","State Election","2-3","823","215","26"
"Nov 07, 2006","State Election","3-1","1,605","850","53"
"Nov 07, 2006","State Election","3-2","1,741","910","52"
"Nov 07, 2006","State Election","3-3","1,608","711","44"
"Nov 07, 2006","State Election","4-1","2,063","1,139","55"
"Nov 07, 2006","State Election","4-2","2,291","1,237","54"
"Nov 07, 2006","State Election","4-3","1,056","394","37"
"Nov 07, 2006","State Election","5-1","2,240","1,187","53"
"Nov 07, 2006","State Election","1-2","1,734","922","53"
"Nov 07, 2006","State Election","5-2","2,021","1,224","61"
"Nov 07, 2006","State Election","5-3","2,189","1,300","59"
"Nov 07, 2006","State Election","6-1","2,101","1,234","59"
"Nov 07, 2006","State Election","6-2","2,019","1,092","54"
"Nov 07, 2006","State Election","6-3","2,218","1,257","57"
"Nov 07, 2006","State Election","7-1","2,003","1,187","59"
"Nov 07, 2006","State Election","7-2","1,330","559","42"
"Nov 07, 2006","State Election","7-3","825","350","42"
"Nov 07, 2006","State Election","8-1","1,650","802","49"
"Nov 07, 2006","State Election","8-2","2,087","1,263","61"
"Nov 07, 2006","State Election","8-3","838","257","31"
"Nov 07, 2006","State Election","9-1","2,216","1,488","67"
"Nov 07, 2006","State Election","9-2","2,323","1,500","65"
"Nov 07, 2006","State Election","9-3","2,164","1,360","63"
"Nov 07, 2006","State Election","10-1","2,331","1,436","62"
"Nov 07, 2006","State Election","10-2","2,325","1,542","66"
"Nov 08, 2005","Municipal","10-2","2,244","781","35"
"Nov 08, 2005","Municipal","9-3","2,085","796","38"
"Nov 08, 2005","Municipal","10-1","2,250","740","33"
"Nov 08, 2005","Municipal","9-1","2,181","790","36"
"Nov 08, 2005","Municipal","1-1","1,491","430","29"
"Nov 08, 2005","Municipal","1-2","1,643","590","36"
"Nov 08, 2005","Municipal","1-3","1,591","568","36"
"Nov 08, 2005","Municipal","2-1","1,660","473","28"
"Nov 08, 2005","Municipal","2-2","778","28","4"
"Nov 08, 2005","Municipal","2-3","834","57","7"
"Nov 08, 2005","Municipal","3-1","1,542","483","31"
"Nov 08, 2005","Municipal","3-2","1,631","427","26"
"Nov 08, 2005","Municipal","3-3","1,545","378","24"
"Nov 08, 2005","Municipal","4-1","1,967","585","30"
"Nov 08, 2005","Municipal","4-2","2,228","496","22"
"Nov 08, 2005","Municipal","4-3","1,026","174","17"
"Nov 08, 2005","Municipal","5-1","2,072","568","27"
"Nov 08, 2005","Municipal","5-2","1,905","625","33"
"Nov 08, 2005","Municipal","5-3","2,114","651","31"
"Nov 08, 2005","Municipal","6-1","1,968","550","28"
"Nov 08, 2005","Municipal","6-2","1,926","435","23"
"Nov 08, 2005","Municipal","6-3","2,114","562","27"
"Nov 08, 2005","Municipal","7-1","1,868","582","31"
"Nov 08, 2005","Municipal","7-2","1,273","196","15"
"Nov 08, 2005","Municipal","7-3","799","91","11"
"Nov 08, 2005","Municipal","8-1","1,572","297","19"
"Nov 08, 2005","Municipal","8-2","2,021","531","26"
"Nov 08, 2005","Municipal","8-3","806","89","11"
"Nov 08, 2005","Municipal","9-2","2,268","817","36"
"Nov 08, 2005","Municipal","10-3","1,487","454","31"
"Nov 08, 2005","Municipal","11-1","1,359","274","20"
"Nov 08, 2005","Municipal","11-2","2,110","792","38"
"Nov 08, 2005","Municipal","11-3","2,246","892","40"
"Nov 02, 2004","State/Presidential","1-1","1,605","1,088","68"
"Nov 02, 2004","State/Presidential","1-2","1,718","1,203","70"
"Nov 02, 2004","State/Presidential","1-3","1,705","1,159","68"
"Nov 02, 2004","State/Presidential","2-1","1,736","1,151","66"
"Nov 02, 2004","State/Presidential","2-2","996","427","43"
"Nov 02, 2004","State/Presidential","2-3","1,016","458","45"
"Nov 02, 2004","State/Presidential","3-1","1,651","1,130","68"
"Nov 02, 2004","State/Presidential","3-2","1,710","1,171","68"
"Nov 02, 2004","State/Presidential","3-3","1,683","1,035","61"
"Nov 02, 2004","State/Presidential","4-1","2,120","1,445","68"
"Nov 02, 2004","State/Presidential","4-2","2,465","1,671","68"
"Nov 02, 2004","State/Presidential","4-3","1,171","631","54"
"Nov 02, 2004","State/Presidential","5-1","2,253","1,505","67"
"Nov 02, 2004","State/Presidential","5-2","2,035","1,452","71"
"Nov 02, 2004","State/Presidential","5-3","2,283","1,658","73"
"Nov 02, 2004","State/Presidential","6-1","2,171","1,557","72"
"Nov 02, 2004","State/Presidential","6-2","2,189","1,437","66"
"Nov 02, 2004","State/Presidential","6-3","2,395","1,682","70"
"Nov 02, 2004","State/Presidential","7-1","2,095","1,465","70"
"Nov 02, 2004","State/Presidential","7-2","1,447","898","62"
"Nov 02, 2004","State/Presidential","7-3","938","566","60"
"Nov 02, 2004","State/Presidential","8-1","1,822","1,137","62"
"Nov 02, 2004","State/Presidential","8-2","2,198","1,634","74"
"Nov 02, 2004","State/Presidential","8-3","904","422","47"
"Nov 02, 2004","State/Presidential","9-1","2,337","1,846","79"
"Nov 02, 2004","State/Presidential","9-2","2,388","1,864","78"
"Nov 02, 2004","State/Presidential","9-3","2,222","1,677","75"
"Nov 02, 2004","State/Presidential","10-1","2,408","1,808","75"
"Nov 02, 2004","State/Presidential","10-2","2,388","1,851","78"
"Nov 02, 2004","State/Presidential","10-3","1,592","1,118","70"
"Nov 02, 2004","State/Presidential","11-1","1,381","892","65"
"Nov 02, 2004","State/Presidential","11-2","2,215","1,649","74"
"Nov 02, 2004","State/Presidential","11-3","2,372","1,756","74"
"Sep 14, 2004","State Primary","6-2","2,089","155","7"
"Sep 14, 2004","State Primary","1-1","1,583","447","28"
"Sep 14, 2004","State Primary","1-2","1,659","620","37"
"Sep 14, 2004","State Primary","1-3","1,654","625","38"
"Sep 14, 2004","State Primary","2-1","1,658","383","23"
"Sep 14, 2004","State Primary","2-2","936","9","1"
"Sep 14, 2004","State Primary","2-3","954","35","4"
"Sep 14, 2004","State Primary","3-1","1,609","543","34"
"Sep 14, 2004","State Primary","3-2","1,643","448","27"
"Sep 14, 2004","State Primary","3-3","1,588","193","12"
"Sep 14, 2004","State Primary","4-1","2,026","173","9"
"Sep 14, 2004","State Primary","4-2","2,308","169","7"
"Sep 14, 2004","State Primary","4-3","1,087","60","6"
"Sep 14, 2004","State Primary","5-1","2,168","325","15"
"Sep 14, 2004","State Primary","5-2","1,943","382","20"
"Sep 14, 2004","State Primary","5-3","2,189","335","15"
"Sep 14, 2004","State Primary","6-1","2,095","638","30"
"Sep 14, 2004","State Primary","6-3","2,300","211","9"
"Sep 14, 2004","State Primary","7-1","2,032","132","6"
"Sep 14, 2004","State Primary","7-2","1,297","52","4"
"Sep 14, 2004","State Primary","7-3","853","19","2"
"Sep 14, 2004","State Primary","8-1","1,752","86","5"
"Sep 14, 2004","State Primary","8-2","2,124","108","5"
"Sep 14, 2004","State Primary","8-3","836","28","3"
"Sep 14, 2004","State Primary","9-1","2,279","166","7"
"Sep 14, 2004","State Primary","9-2","2,332","181","8"
"Sep 14, 2004","State Primary","9-3","2,138","199","9"
"Sep 14, 2004","State Primary","10-1","2,333","218","9"
"Sep 14, 2004","State Primary","10-2","2,310","220","10"
"Sep 14, 2004","State Primary","10-3","1,540","122","8"
"Sep 14, 2004","State Primary","11-1","1,258","66","5"
"Sep 14, 2004","State Primary","11-2","2,137","183","9"
"Sep 14, 2004","State Primary","11-3","2,337","306","13"
"Mar 02, 2004","Presidential Primary","1-1","1,521","313","21"
"Mar 02, 2004","Presidential Primary","1-2","1,552","359","23"
"Mar 02, 2004","Presidential Primary","1-3","1,586","375","24"
"Mar 02, 2004","Presidential Primary","2-1","1,562","276","18"
"Mar 02, 2004","Presidential Primary","2-2","914","77","8"
"Mar 02, 2004","Presidential Primary","2-3","925","96","10"
"Mar 02, 2004","Presidential Primary","3-1","1,518","318","21"
"Mar 02, 2004","Presidential Primary","3-2","1,551","342","22"
"Mar 02, 2004","Presidential Primary","3-3","1,498","299","20"
"Mar 02, 2004","Presidential Primary","4-1","1,948","479","25"
"Mar 02, 2004","Presidential Primary","4-2","2,204","561","25"
"Mar 02, 2004","Presidential Primary","4-3","1,019","189","19"
"Mar 02, 2004","Presidential Primary","5-1","2,043","501","25"
"Mar 02, 2004","Presidential Primary","5-2","1,889","472","25"
"Mar 02, 2004","Presidential Primary","5-3","2,104","574","27"
"Mar 02, 2004","Presidential Primary","6-1","1,998","514","26"
"Mar 02, 2004","Presidential Primary","6-2","2,033","518","25"
"Mar 02, 2004","Presidential Primary","6-3","2,216","594","27"
"Mar 02, 2004","Presidential Primary","7-1","2,004","593","30"
"Mar 02, 2004","Presidential Primary","7-2","1,297","244","19"
"Mar 02, 2004","Presidential Primary","7-3","856","143","17"
"Mar 02, 2004","Presidential Primary","8-1","1,680","373","22"
"Mar 02, 2004","Presidential Primary","8-2","2,066","586","28"
"Mar 02, 2004","Presidential Primary","8-3","816","106","13"
"Mar 02, 2004","Presidential Primary","9-1","2,229","727","33"
"Mar 02, 2004","Presidential Primary","9-2","2,203","630","29"
"Mar 02, 2004","Presidential Primary","9-3","2,060","616","30"
"Mar 02, 2004","Presidential Primary","10-1","2,233","691","31"
"Mar 02, 2004","Presidential Primary","10-2","2,246","740","33"
"Mar 02, 2004","Presidential Primary","10-3","1,490","369","25"
"Mar 02, 2004","Presidential Primary","11-1","1,143","172","15"
"Mar 02, 2004","Presidential Primary","11-2","2,090","585","28"
"Mar 02, 2004","Presidential Primary","11-3","2,268","712","31"
"Nov 04, 2003","Municipal","1-1","1,487","560","38"
"Nov 04, 2003","Municipal","1-2","1,529","674","44"
"Nov 04, 2003","Municipal","1-3","1,594","694","44"
"Nov 04, 2003","Municipal","2-1","1,549","533","34"
"Nov 04, 2003","Municipal","2-2","898","156","17"
"Nov 04, 2003","Municipal","2-3","912","258","28"
"Nov 04, 2003","Municipal","3-1","1,499","619","41"
"Nov 04, 2003","Municipal","3-2","1,510","524","35"
"Nov 04, 2003","Municipal","3-3","1,457","474","33"
"Nov 04, 2003","Municipal","4-1","1,935","721","37"
"Nov 04, 2003","Municipal","4-2","2,136","700","33"
"Nov 04, 2003","Municipal","4-3","986","235","24"
"Nov 04, 2003","Municipal","5-1","1,986","736","37"
"Nov 04, 2003","Municipal","5-2","1,885","796","42"
"Nov 04, 2003","Municipal","5-3","2,047","866","42"
"Nov 04, 2003","Municipal","6-1","1,956","757","39"
"Nov 04, 2003","Municipal","6-2","1,983","674","34"
"Nov 04, 2003","Municipal","6-3","2,184","787","36"
"Nov 04, 2003","Municipal","7-1","1,990","719","36"
"Nov 04, 2003","Municipal","7-2","1,252","278","22"
"Nov 04, 2003","Municipal","7-3","837","167","20"
"Nov 04, 2003","Municipal","8-1","1,642","442","27"
"Nov 04, 2003","Municipal","8-2","2,030","759","37"
"Nov 04, 2003","Municipal","8-3","808","136","17"
"Nov 04, 2003","Municipal","9-1","2,216","1,038","47"
"Nov 04, 2003","Municipal","9-2","2,159","985","46"
"Nov 04, 2003","Municipal","9-3","2,044","957","47"
"Nov 04, 2003","Municipal","10-1","2,186","942","43"
"Nov 04, 2003","Municipal","10-2","2,225","990","44"
"Nov 04, 2003","Municipal","10-3","1,473","548","37"
"Nov 04, 2003","Municipal","11-1","1,095","277","25"
"Nov 04, 2003","Municipal","11-2","2,063","949","46"
"Nov 04, 2003","Municipal","11-3","2,232","1,007","45"
"Nov 05, 2002","State Election","1-1","1,574","835","53"
"Nov 05, 2002","State Election","1-2","1,653","946","57"
"Nov 05, 2002","State Election","1-3","1,660","917","55"
"Nov 05, 2002","State Election","2-1","1,599","752","47"
"Nov 05, 2002","State Election","2-2","806","173","21"
"Nov 05, 2002","State Election","2-3","859","243","28"
"Nov 05, 2002","State Election","3-1","1,564","877","56"
"Nov 05, 2002","State Election","3-2","1,572","867","55"
"Nov 05, 2002","State Election","3-3","1,470","672","46"
"Nov 05, 2002","State Election","4-1","2,035","1,111","55"
"Nov 05, 2002","State Election","4-2","2,296","1,150","50"
"Nov 05, 2002","State Election","4-3","1,168","428","37"
"Nov 05, 2002","State Election","5-1","2,088","1,096","52"
"Nov 05, 2002","State Election","5-2","1,978","1,091","55"
"Nov 05, 2002","State Election","5-3","2,078","1,248","60"
"Nov 05, 2002","State Election","6-1","2,103","1,251","59"
"Nov 05, 2002","State Election","6-2","2,157","1,110","51"
"Nov 05, 2002","State Election","6-3","2,321","1,289","56"
"Nov 05, 2002","State Election","7-1","2,082","1,202","58"
"Nov 05, 2002","State Election","7-2","1,337","637","48"
"Nov 05, 2002","State Election","7-3","858","385","45"
"Nov 05, 2002","State Election","8-1","1,785","872","49"
"Nov 05, 2002","State Election","8-2","2,170","1,343","62"
"Nov 05, 2002","State Election","8-3","902","274","30"
"Nov 05, 2002","State Election","9-1","2,329","1,582","68"
"Nov 05, 2002","State Election","9-2","2,242","1,509","67"
"Nov 05, 2002","State Election","9-3","2,206","1,387","63"
"Nov 05, 2002","State Election","10-1","2,391","1,431","60"
"Nov 05, 2002","State Election","10-2","2,367","1,558","66"
"Nov 05, 2002","State Election","10-3","1,572","863","55"
"Nov 05, 2002","State Election","11-1","1,083","487","45"
"Nov 05, 2002","State Election","11-2","2,202","1,377","63"
"Nov 05, 2002","State Election","11-3","2,331","1,482","64"
"Sep 17, 2002","State Primary","3-1","1,532","412","27"
"Sep 17, 2002","State Primary","1-1","1,536","448","29"
"Sep 17, 2002","State Primary","1-2","1,620","483","30"
"Sep 17, 2002","State Primary","1-3","1,630","505","31"
"Sep 17, 2002","State Primary","2-1","1,548","344","22"
"Sep 17, 2002","State Primary","2-2","780","36","5"
"Sep 17, 2002","State Primary","2-3","855","97","11"
"Sep 17, 2002","State Primary","3-2","1,547","481","31"
"Sep 17, 2002","State Primary","3-3","1,443","352","24"
"Sep 17, 2002","State Primary","4-1","2,006","575","29"
"Sep 17, 2002","State Primary","4-2","2,244","578","26"
"Sep 17, 2002","State Primary","4-3","1,133","198","17"
"Sep 17, 2002","State Primary","5-1","2,026","662","33"
"Sep 17, 2002","State Primary","5-2","1,955","725","37"
"Sep 17, 2002","State Primary","5-3","2,026","809","40"
"Sep 17, 2002","State Primary","6-1","2,069","747","36"
"Sep 17, 2002","State Primary","6-2","2,097","632","30"
"Sep 17, 2002","State Primary","6-3","2,261","760","34"
"Sep 17, 2002","State Primary","7-1","2,031","760","37"
"Sep 17, 2002","State Primary","7-2","1,271","304","24"
"Sep 17, 2002","State Primary","7-3","834","193","23"
"Sep 17, 2002","State Primary","8-1","1,752","473","27"
"Sep 17, 2002","State Primary","8-2","2,126","823","39"
"Sep 17, 2002","State Primary","8-3","875","129","15"
"Sep 17, 2002","State Primary","9-1","2,295","1,072","47"
"Sep 17, 2002","State Primary","9-2","2,208","881","40"
"Sep 17, 2002","State Primary","9-3","2,187","850","39"
"Sep 17, 2002","State Primary","10-1","2,353","854","36"
"Sep 17, 2002","State Primary","10-2","2,319","1,024","44"
"Sep 17, 2002","State Primary","10-3","1,536","448","29"
"Sep 17, 2002","State Primary","11-1","1,026","188","18"
"Sep 17, 2002","State Primary","11-2","2,147","781","36"
"Sep 17, 2002","State Primary","11-3","2,286","920","40"
"Nov 06, 2001","Municipal","1-1","1,588","478","30"
"Nov 06, 2001","Municipal","1-2","1,429","534","37"
"Nov 06, 2001","Municipal","1-3","1,319","511","39"
"Nov 06, 2001","Municipal","1-4","1,141","365","32"
"Nov 06, 2001","Municipal","2-1","1,524","422","28"
"Nov 06, 2001","Municipal","2-2","1,047","125","12"
"Nov 06, 2001","Municipal","2-3","1,041","81","8"
"Nov 06, 2001","Municipal","3-1","1,065","375","35"
"Nov 06, 2001","Municipal","3-2","1,198","359","30"
"Nov 06, 2001","Municipal","3-3","1,532","586","38"
"Nov 06, 2001","Municipal","3-4","1,159","342","30"
"Nov 06, 2001","Municipal","4-1","1,539","359","23"
"Nov 06, 2001","Municipal","4-2","1,628","424","26"
"Nov 06, 2001","Municipal","4-3","1,608","371","23"
"Nov 06, 2001","Municipal","4-4","1,748","546","31"
"Nov 06, 2001","Municipal","5-1","1,501","389","26"
"Nov 06, 2001","Municipal","5-2","1,603","614","38"
"Nov 06, 2001","Municipal","5-3","1,565","554","35"
"Nov 06, 2001","Municipal","5-4","1,329","467","35"
"Nov 06, 2001","Municipal","6-1","893","202","23"
"Nov 06, 2001","Municipal","6-2","1,236","296","24"
"Nov 06, 2001","Municipal","6-3","1,211","269","22"
"Nov 06, 2001","Municipal","6-4","1,370","412","30"
"Nov 06, 2001","Municipal","7-1","1,389","413","30"
"Nov 06, 2001","Municipal","7-2","1,292","287","22"
"Nov 06, 2001","Municipal","7-3","1,514","550","36"
"Nov 06, 2001","Municipal","7-4","854","203","24"
"Nov 06, 2001","Municipal","8-1","1,558","367","24"
"Nov 06, 2001","Municipal","8-2","226","18","8"
"Nov 06, 2001","Municipal","8-3","423","26","6"
"Nov 06, 2001","Municipal","8-4","1,278","364","28"
"Nov 06, 2001","Municipal","9-1","1,688","631","37"
"Nov 06, 2001","Municipal","9-2","1,442","635","44"
"Nov 06, 2001","Municipal","9-3","1,519","616","41"
"Nov 06, 2001","Municipal","9-4","1,202","521","43"
"Nov 06, 2001","Municipal","10-1","1,681","564","34"
"Nov 06, 2001","Municipal","10-2","1,444","460","32"
"Nov 06, 2001","Municipal","10-3","1,520","527","35"
"Nov 06, 2001","Municipal","10-4","1,476","570","39"
"Nov 06, 2001","Municipal","11-1","935","199","21"
"Nov 06, 2001","Municipal","11-2","2,052","855","42"
"Nov 06, 2001","Municipal","11-3","2,031","801","39"
"Nov 07, 2000","State/Presidential","1-1","1,631","1,042","64"
"Nov 07, 2000","State/Presidential","1-2","1,528","1,009","66"
"Nov 07, 2000","State/Presidential","1-3","1,410","899","64"
"Nov 07, 2000","State/Presidential","1-4","1,195","738","62"
"Nov 07, 2000","State/Presidential","2-1","1,579","976","62"
"Nov 07, 2000","State/Presidential","2-2","1,232","551","45"
"Nov 07, 2000","State/Presidential","2-3","1,317","683","52"
"Nov 07, 2000","State/Presidential","3-1","1,114","717","64"
"Nov 07, 2000","State/Presidential","3-2","1,307","845","65"
"Nov 07, 2000","State/Presidential","3-3","1,703","1,189","70"
"Nov 07, 2000","State/Presidential","3-4","1,286","803","62"
"Nov 07, 2000","State/Presidential","4-1","1,729","1,114","64"
"Nov 07, 2000","State/Presidential","4-2","1,829","1,106","60"
"Nov 07, 2000","State/Presidential","4-3","1,847","1,083","59"
"Nov 07, 2000","State/Presidential","4-4","1,923","1,202","63"
"Nov 07, 2000","State/Presidential","5-1","1,635","966","59"
"Nov 07, 2000","State/Presidential","5-2","1,758","1,202","68"
"Nov 07, 2000","State/Presidential","5-3","1,721","1,195","69"
"Nov 07, 2000","State/Presidential","5-4","1,438","930","65"
"Nov 07, 2000","State/Presidential","6-1","1,028","567","55"
"Nov 07, 2000","State/Presidential","6-2","1,484","755","51"
